Name	Capital	Population
Republic of Poland	Warsaw	38500
Czech Republic	Prague	10500
Kingdom of Spain	Madrid	46599
England	London	20000
Austria	Vienna	70000
Brazil	Brasilia	40299
Croatia	Zagreb	15000
Denmark	Copenhagen	8022
Finland	Helsinki	9822
Turkey	Ankara	3822
Andorra	Andora	8893
Canada	Ottawa	29300
Denmark	Kopengaha	920121
Germany	Berlin	382993
Japan	Tokyo	38920
Norway	Oslo	320932
Turkmenistan	Aszchabad	65086
Belgium	Bruksels	32433
Afghanistan	Kabul	6088
Botswana	Gaborone	3233
Barbados	Bridgetown	3664
Fiji	Suva	5666
Cyprus	Nikozja	3223
Egypt	Kair	324000
Cuba	Hawana	980
Israel	Jerozolima	32093
Italy	Rome	5930
India	New Delhi	5666
Yemen	Sana	90234
Ukraine	Kiev	39672
Venezuela	Caracas	9023
